County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Cambria County ,42021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,0,7,26,28,0,1,19,8,0,4,11,6,0,4,23,-,-,-,-
Cameron County ,42023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-
Carbon County ,42025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,0,1,36,18,0,6,60,10,0,3,19,8,3,1,18,-,-,-,-
Centre County ,42027,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,8,19,14,2,3,13,6,3,8,17,14,0,0,9,-,-,-,-
Chester County ,42029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,0,9,71,25,4,23,80,19,3,14,45,33,0,10,64,-,-,-,-
Clarion County ,42031,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,3,17,4,0,4,22,4,0,3,5,1,0,0,8,-,-,-,-
Clearfield County ,42033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,5,11,21,0,5,30,5,0,7,12,10,0,3,16,-,-,-,-
Clinton County ,42035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,0,5,8,8,0,2,5,8,0,9,5,10,0,1,11,-,-,-,-
Columbia County ,42037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,2,10,10,0,0,24,5,0,3,20,7,0,2,14,-,-,-,-
Crawford County ,42039,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,13,25,25,0,10,58,12,0,9,41,13,0,8,22,-,-,-,-
Cumberland County ,42041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,2,18,128,47,24,16,127,30,5,12,42,27,0,26,35,-,-,-,-
Dauphin County ,42043,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,0,22,215,94,12,20,168,76,0,23,66,80,0,16,59,-,-,-,-
Delaware County ,42045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,1,28,47,37,0,27,63,29,1,11,32,37,0,15,64,-,-,-,-
Elk County ,42047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,1,18,7,0,0,33,2,5,3,9,4,0,6,8,-,-,-,-
Erie County ,42049,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,3,16,41,36,0,22,56,31,0,16,40,34,0,20,25,-,-,-,-
Fayette County ,42051,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,0,1,25,16,0,3,55,14,0,2,22,28,0,6,38,-,-,-,-
Forest County ,42053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,0,0,12,2,0,0,3,0,0,0,3,-,-,-,-
Franklin County ,42055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,3,43,33,0,2,48,14,2,8,45,19,0,4,27,-,-,-,-
Fulton County ,42057,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,8,0,0,0,2,0,0,0,8,2,0,0,4,-,-,-,-
Greene County ,42059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,2,9,21,2,5,46,8,0,10,3,4,0,4,7,-,-,-,-
Huntingdon County ,42061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0,1,12,6,0,0,22,6,0,1,11,5,0,0,11,-,-,-,-
Indiana County ,42063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,3,14,13,0,2,24,3,0,5,14,5,3,2,9,-,-,-,-
Jefferson County ,42065,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,2,21,8,2,4,7,14,1,11,13,14,0,15,19,-,-,-,-
Juniata County ,42067,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,11,6,0,3,3,3,1,0,9,3,1,3,15,-,-,-,-
Lackawanna County ,42069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,1,11,56,72,0,10,44,38,0,7,38,64,0,9,31,-,-,-,-
Lancaster County ,42071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,1,21,169,42,3,19,122,25,3,21,98,31,4,24,86,-,-,-,-
Lawrence County ,42073,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,2,12,17,0,0,10,8,0,2,6,20,0,3,11,-,-,-,-
Lebanon County ,42075,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,2,10,70,31,0,10,63,18,0,7,30,15,0,10,21,-,-,-,-
Lehigh County ,42077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,0,23,79,65,11,29,110,45,2,29,65,30,2,14,73,-,-,-,-
Luzerne County ,42079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,1,18,159,55,1,15,188,37,0,13,62,33,1,17,52,-,-,-,-
Lycoming County ,42081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,0,10,37,35,0,12,26,30,1,5,25,33,4,3,19,-,-,-,-
McKean County ,42083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,1,6,27,16,1,4,24,12,0,8,13,5,0,9,7,-,-,-,-
Mercer County ,42085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,0,4,57,35,0,4,49,25,0,16,40,21,0,10,33,-,-,-,-
Mifflin County ,42087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,6,37,21,0,10,44,2,0,5,14,7,0,5,16,-,-,-,-
Monroe County ,42089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,0,4,54,37,4,8,52,27,0,11,27,33,1,19,29,-,-,-,-
Montgomery County ,42091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,1,17,62,54,1,15,76,54,1,6,57,30,1,15,31,-,-,-,-
Montour County ,42093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,4,2,0,0,1,1,0,0,4,2,0,0,1,-,-,-,-
Northampton County ,42095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,13,31,113,56,4,44,144,36,3,44,61,21,2,19,54,-,-,-,-
Northumberland County ,42097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,26,43,14,1,12,35,15,1,10,16,10,1,12,23,-,-,-,-
Perry County ,42099,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,3,6,8,0,2,47,8,1,1,16,11,0,1,14,-,-,-,-
Philadelphia County ,42101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566,7,167,525,507,10,152,483,277,4,96,395,179,2,105,314,-,-,-,-
Pike County ,42103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,2,4,14,0,1,5,20,0,0,1,14,0,1,5,-,-,-,-
Potter County ,42105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,0,10,7,0,3,9,5,2,0,13,2,0,2,3,-,-,-,-
Schuylkill County ,42107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,20,111,30,0,10,108,14,1,7,35,16,0,6,38,-,-,-,-
Snyder County ,42109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0,0,7,8,0,3,5,6,3,1,12,4,0,2,10,-,-,-,-
Somerset County ,42111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,5,2,8,1,6,15,8,0,5,6,8,0,5,9,-,-,-,-
Sullivan County ,42113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,3,0,0,2,1,0,0,1,3,0,2,1,-,-,-,-
Susquehanna County ,42115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,2,10,7,0,1,15,8,0,1,4,2,0,3,9,-,-,-,-
Tioga County ,42117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,7,20,16,0,4,18,16,1,11,18,13,1,6,18,-,-,-,-
Union County ,42119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,13,4,0,6,7,2,2,2,5,2,3,1,7,-,-,-,-
Venango County ,42121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,0,12,21,20,1,12,11,20,0,16,12,29,0,11,12,-,-,-,-
Warren County ,42123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,1,4,5,0,1,14,5,0,1,9,2,0,2,4,-,-,-,-
Washington County ,42125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,3,9,26,34,0,9,41,11,5,4,21,22,1,0,23,-,-,-,-
Wayne County ,42127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,2,5,44,4,7,7,8,13,1,0,11,7,1,0,9,-,-,-,-
Westmoreland County ,42129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,1,10,114,40,6,19,125,42,1,15,46,47,2,12,68,-,-,-,-
Wyoming County ,42131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,2,6,9,0,4,9,10,1,3,4,2,0,2,4,-,-,-,-
"York, County",42133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,0,19,119,73,0,16,124,79,0,32,67,63,0,26,58,-,-,-,-
