County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Des Moines County ,19057,12,14,8,7,44,8,10,7,14,10,15,15
Dickinson County ,19059,-,3,8,2,0,-,3,8,2,2,12,1
Dubuque County ,19061,20,15,19,18,9,8,23,17,17,24,19,22
Emmet County ,19063,-,4,6,4,3,3,2,11,3,5,4,3
Fayette County ,19065,8,3,10,1,5,3,1,6,2,3,4,1
Floyd County ,19067,3,5,3,5,3,5,3,6,7,5,9,7
Franklin County ,19069,3,1,1,8,3,2,3,1,-,2,4,2
Fremont County ,19071,3,-,4,-,7,2,3,1,5,1,3,1
Greene County ,19073,1,1,1,4,7,11,3,7,-,6,1,12
Grundy County ,19075,1,-,-,2,1,2,-,2,1,5,7,1
Guthrie County ,19077,2,7,2,6,1,2,2,-,-,-,-,3
Hamilton County ,19079,7,3,-,8,7,3,5,4,3,6,4,7
Hancock County ,19081,-,1,2,1,2,3,1,9,2,-,-,-
Hardin County ,19083,3,3,3,6,6,8,8,12,14,5,7,10
Harrison County ,19085,4,3,4,4,3,2,3,6,9,1,-,2
Henry County ,19087,12,4,5,4,2,2,-,7,5,5,5,14
Howard County ,19089,-,3,-,3,2,1,3,4,-,1,2,9
Humboldt County ,19091,2,3,-,1,7,2,11,4,4,3,-,1
Ida County ,19093,2,3,2,3,1,-,-,4,4,3,2,1
Iowa County ,19095,2,7,-,8,3,1,2,3,7,4,3,0
Jackson County ,19097,4,2,10,8,7,4,4,-,8,3,4,9
Jasper County ,19099,8,7,5,7,9,5,3,17,8,6,8,13
Jefferson County ,19101,2,3,1,4,0,5,1,2,6,3,1,1
Johnson County ,19103,11,15,9,21,6,7,11,14,11,18,10,11
Jones County ,19105,2,4,1,2,2,4,1,2,2,2,4,1
Keokuk County ,19107,4,3,1,-,1,1,3,3,1,1,-,1
Kossuth County ,19109,1,3,2,3,1,3,6,-,3,-,3,3
Lee County ,19111,8,11,2,16,23,10,4,20,5,16,18,9
Linn County ,19113,39,43,32,39,33,38,24,35,54,38,51,27
Louisa County ,19115,2,5,4,1,4,4,1,8,4,6,2,7
Lucas County ,19117,6,1,1,3,3,1,-,1,1,2,3,1
Lyon County ,19119,1,3,2,3,2,-,1,4,12,5,5,3
Madison County ,19121,13,5,5,5,0,1,5,2,6,4,4,1
Mahaska County ,19123,7,15,9,14,3,6,6,6,4,11,4,8
Marion County ,19125,5,4,15,8,4,8,8,12,5,6,10,3
Marshall County ,19127,12,10,11,7,10,9,6,19,22,27,9,18
Mills County ,19129,3,5,3,2,2,1,4,3,10,5,3,1
Mitchell County ,19131,2,1,2,-,0,1,3,15,1,4,1,2
Monona County ,19133,4,-,1,1,1,-,1,6,2,3,1,0
Monroe County ,19135,-,1,3,2,0,-,1,2,2,2,5,3
Montgomery County ,19137,6,6,2,1,1,1,5,5,2,3,9,3
Muscatine County ,19139,17,25,25,14,14,5,8,12,7,15,12,22
O'Brien County ,19141,3,2,1,-,2,7,1,3,4,2,27,28
Osceola County ,19143,1,1,1,1,2,1,3,1,3,1,1,9
Page County ,19145,-,4,3,3,2,2,3,5,8,5,2,2
Palo Alto County ,19147,2,1,-,1,3,-,5,6,7,3,-,1
Plymouth County ,19149,1,3,1,1,4,9,4,4,4,8,12,6
Pocahontas County ,19151,1,1,8,-,2,5,3,5,2,1,-,1
Polk County ,19153,76,94,82,93,88,102,153,118,86,92,96,88
Pottawattamie County ,19155,31,22,16,22,43,25,37,45,44,30,47,35
Poweshiek County ,19157,9,2,1,2,9,3,2,5,1,11,-,2
Ringgold County ,19159,1,3,-,1,2,-,-,5,-,-,-,0
Sac County ,19161,5,-,1,4,10,3,7,3,2,-,10,3
Scott County ,19163,51,61,38,51,59,39,47,69,56,51,48,46
Shelby County ,19165,8,3,1,-,0,1,2,5,2,2,-,4
Sioux County ,19167,3,1,4,3,9,2,6,23,5,6,8,22
Story County ,19169,13,13,6,10,16,16,12,13,8,16,8,9
Tama County ,19171,2,7,14,14,3,2,7,8,6,7,4,8
Taylor County ,19173,-,-,1,1,1,2,4,-,-,1,1,2
Union County ,19175,5,5,3,2,2,7,8,6,-,7,4,6
Van Buren County ,19177,1,1,1,1,1,-,2,3,-,12,2,-
Wapello County ,19179,15,6,18,5,12,5,8,9,13,13,14,23
Warren County ,19181,8,18,10,9,6,7,5,8,20,6,10,6
Washington County ,19183,6,3,3,19,5,5,10,3,1,7,9,2
Wayne County ,19185,3,3,1,6,0,1,10,1,6,-,5,2
Webster County ,19187,8,7,22,14,6,15,12,16,6,8,8,8
Winnebago County ,19189,1,1,7,4,2,4,3,5,1,-,-,2
Winneshiek County ,19191,1,1,1,10,6,3,15,5,-,4,1,5
Woodbury County ,19193,24,41,33,38,38,34,42,65,35,23,30,25
Worth County ,19195,-,1,2,2,1,-,2,-,-,3,2,1
Wright County ,19197,2,3,11,18,11,-,15,10,12,8,8,4
