County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Elkhart County ,18039,67,-,301,148,46,-,287,124,58,-,221,98,61,-,334,120,74,-,321,109,50,-,369,119,62,-,448,86,60,-,551,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fayette County ,18041,9,-,47,7,6,-,49,17,12,-,40,13,7,-,76,16,7,-,62,16,5,-,131,6,5,-,146,12,7,-,154,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Floyd County ,18043,9,-,94,26,9,-,114,19,10,-,157,30,9,-,130,16,33,-,165,12,22,-,210,19,29,-,328,29,34,-,410,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fountain County ,18045,4,-,32,23,5,-,48,12,6,-,41,13,8,-,53,11,10,-,61,11,6,-,47,13,9,-,93,7,7,-,172,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Franklin County ,18047,5,-,48,16,3,-,19,14,6,-,31,8,7,-,57,5,5,-,27,5,5,-,87,5,7,-,82,2,5,-,109,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fulton County ,18049,10,-,86,12,16,-,83,23,18,-,103,20,22,-,115,13,8,-,117,14,19,-,95,18,12,-,124,13,10,-,154,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gibson County ,18051,12,-,151,27,17,-,124,33,16,-,151,17,9,-,218,21,19,-,172,14,5,-,176,15,5,-,173,20,4,-,174,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grant County ,18053,16,-,146,44,3,-,120,40,16,-,148,42,23,-,207,38,12,-,196,40,17,-,190,21,22,-,188,35,19,-,239,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greene County ,18055,17,-,137,20,20,-,64,22,8,-,82,23,10,-,120,21,10,-,121,27,10,-,124,22,11,-,197,35,16,-,183,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hamilton County ,18057,20,-,150,71,12,-,151,52,11,-,138,34,17,-,170,31,16,-,185,50,20,-,259,42,12,-,195,44,27,-,203,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hancock County ,18059,11,-,107,19,6,-,96,23,13,-,73,28,19,-,94,29,12,-,136,33,13,-,106,22,17,-,163,24,17,-,217,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harrison County ,18061,21,-,105,32,17,-,52,24,13,-,51,21,9,-,93,20,16,-,107,27,19,-,105,22,9,-,74,16,4,-,99,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hendricks County ,18063,22,-,159,60,9,-,62,39,7,-,37,28,6,-,53,31,12,-,92,18,8,-,108,21,14,-,175,39,14,-,257,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Henry County ,18065,12,-,165,5,12,-,92,8,9,-,105,10,15,-,129,17,14,-,110,18,14,-,89,4,16,-,216,9,9,-,201,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Howard County ,18067,79,-,270,75,41,-,277,47,56,-,261,56,38,-,287,47,55,-,360,41,45,-,323,46,46,-,337,31,24,-,346,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Huntington County ,18069,22,-,61,31,13,-,61,29,14,-,60,35,19,-,68,28,14,-,138,21,12,-,93,28,7,-,94,12,12,-,105,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jackson County ,18071,28,-,163,49,22,-,147,25,11,-,162,40,13,-,168,21,17,-,211,47,12,-,171,28,12,-,152,25,14,-,257,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jasper County ,18073,8,-,60,10,8,-,39,10,9,-,67,16,10,-,50,7,15,-,82,13,8,-,103,1,10,-,128,15,5,-,99,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jay County ,18075,18,-,50,9,9,-,52,9,22,-,76,15,25,-,143,11,20,-,165,18,19,-,131,16,16,-,118,14,12,-,148,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jefferson County ,18077,13,-,66,21,8,-,77,22,9,-,103,18,6,-,89,19,6,-,121,16,2,-,105,12,10,-,135,5,12,-,220,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jennings County ,18079,22,-,256,35,22,-,177,30,54,-,228,57,62,-,325,54,65,-,399,64,34,-,230,16,14,-,169,14,21,-,201,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Johnson County ,18081,37,-,290,53,29,-,332,50,24,-,239,37,21,-,170,38,18,-,145,47,20,-,211,52,22,-,289,30,38,-,319,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Knox County ,18083,10,-,178,44,19,-,190,19,14,-,172,20,16,-,185,18,11,-,171,19,17,-,261,21,10,-,200,15,27,-,263,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosciusko County ,18085,29,-,114,39,27,-,67,33,28,-,63,36,27,-,63,32,25,-,85,22,30,-,91,42,22,-,92,26,10,-,158,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LaGrange County ,18087,15,-,63,29,15,-,65,26,9,-,72,17,14,-,123,21,21,-,105,24,8,-,104,20,13,-,110,11,12,-,104,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lake County ,18089,197,-,"1,132",145,161,-,"1,101",157,134,-,"1,063",158,116,-,"1,219",132,105,-,"1,277",147,139,-,"1,570",113,154,-,"1,800",105,175,-,"1,927",152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LaPorte County ,18091,35,-,128,38,23,-,126,17,14,-,126,36,18,-,125,17,29,-,184,20,17,-,178,14,25,-,213,19,26,-,318,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lawrence County ,18093,16,-,89,21,9,-,67,17,19,-,95,16,28,-,125,15,19,-,151,30,25,-,211,21,24,-,203,25,14,-,297,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madison County ,18095,74,-,384,96,56,-,364,77,55,-,324,85,54,-,499,63,58,-,592,67,68,-,729,66,89,-,875,94,79,-,"1,007",103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marion County ,18097,482,-,"3,826",632,393,-,"3,605",477,384,-,"4,186",561,391,-,"4,124",445,459,-,"4,852",440,465,-,"5,168",442,324,-,"4,634",381,209,-,"4,473",281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marshall County ,18099,14,-,69,7,28,-,94,21,27,-,81,22,39,-,97,24,21,-,137,21,16,-,97,10,11,-,114,24,9,-,120,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Martin County ,18101,13,-,28,8,3,-,27,5,8,-,36,1,8,-,60,1,11,-,64,7,9,-,71,9,4,-,85,1,4,-,89,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Miami County ,18103,35,-,186,34,25,-,185,31,31,-,189,24,33,-,180,19,51,-,260,36,39,-,265,31,32,-,282,24,18,-,149,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monroe County ,18105,36,-,296,54,20,-,167,44,15,-,172,28,17,-,140,39,17,-,218,35,21,-,218,36,23,-,306,30,24,-,485,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montgomery County ,18107,18,-,209,40,17,-,113,37,17,-,48,20,5,-,74,13,16,-,84,8,8,-,63,17,10,-,125,26,15,-,189,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morgan County ,18109,10,-,81,48,21,-,41,37,11,-,51,37,9,-,58,17,6,-,106,16,12,-,100,14,7,-,113,33,23,-,219,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Newton County ,18111,1,-,32,7,2,-,41,1,2,-,34,11,5,-,57,6,4,-,29,3,3,-,30,8,2,-,52,7,3,-,74,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Noble County ,18113,40,-,130,32,27,-,121,29,17,-,94,33,13,-,65,40,19,-,80,43,25,-,157,39,35,-,179,21,15,-,224,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ohio County ,18115,4,-,15,2,1,-,18,1,0,-,11,5,0,-,23,3,1,-,6,2,7,-,19,5,0,-,18,2,2,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Orange County ,18117,10,-,68,18,4,-,53,18,4,-,53,5,14,-,96,15,5,-,88,14,0,-,136,8,22,-,204,18,16,-,198,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Owen County ,18119,18,-,72,15,0,-,56,7,2,-,31,7,2,-,48,10,11,-,77,6,11,-,159,18,13,-,155,5,6,-,166,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Parke County ,18121,5,-,18,11,0,-,22,3,5,-,19,4,1,-,26,9,0,-,34,5,2,-,57,3,1,-,56,8,2,-,81,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Perry County ,18123,9,-,91,15,5,-,60,9,17,-,49,9,20,-,46,10,10,-,86,22,4,-,155,10,13,-,197,4,10,-,178,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pike County ,18125,3,-,81,20,6,-,79,9,4,-,52,8,8,-,111,15,5,-,56,10,3,-,64,3,9,-,95,6,16,-,109,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Porter County ,18127,18,-,319,33,10,-,168,23,20,-,137,34,20,-,161,35,30,-,226,33,27,-,279,42,41,-,393,30,29,-,408,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Posey County ,18129,12,-,77,19,13,-,53,17,10,-,57,21,8,-,70,5,13,-,75,4,17,-,121,4,9,-,122,7,8,-,176,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pulaski County ,18131,13,-,26,14,3,-,25,13,6,-,28,7,3,-,24,5,7,-,19,6,2,-,43,9,4,-,54,6,9,-,117,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Putnam County ,18133,3,-,75,20,8,-,52,14,7,-,32,26,15,-,76,8,18,-,127,20,18,-,105,13,12,-,191,18,20,-,260,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Randolph County ,18135,15,-,56,37,7,-,46,23,11,-,70,25,19,-,50,24,10,-,67,10,10,-,94,20,8,-,101,15,20,-,214,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ripley County ,18137,6,-,66,26,6,-,54,15,8,-,24,13,8,-,56,18,8,-,63,13,7,-,104,5,9,-,114,6,13,-,190,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rush County ,18139,7,-,52,6,2,-,24,17,8,-,39,13,11,-,41,20,2,-,38,11,6,-,55,7,6,-,72,7,7,-,76,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
St. Joseph County ,18141,103,-,635,165,77,-,400,137,92,-,521,165,113,-,791,183,157,-,1036,172,109,-,"1,007",125,141,-,1298,26,92,-,1384,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scott County ,18143,25,-,146,41,19,-,120,40,23,-,136,29,27,-,213,55,46,-,259,39,21,-,184,20,18,-,224,26,26,-,292,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shelby County ,18145,13,-,107,27,8,-,91,20,10,-,101,30,14,-,103,29,15,-,139,28,5,-,117,30,16,-,128,16,11,-,149,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spencer County ,18147,7,-,46,4,12,-,42,24,4,-,32,10,9,-,47,9,13,-,114,12,14,-,153,15,16,-,183,16,19,-,229,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Starke County ,18149,7,-,39,15,15,-,56,7,9,-,43,12,6,-,35,12,19,-,69,12,10,-,63,12,14,-,95,25,13,-,136,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Steuben County ,18151,32,-,120,28,15,-,111,20,21,-,98,21,25,-,95,25,18,-,120,24,12,-,105,15,24,-,96,13,14,-,124,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sullivan County ,18153,6,-,52,22,4,-,60,19,10,-,48,5,14,-,49,8,11,-,52,8,12,-,49,7,11,-,103,15,6,-,129,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland County ,18155,2,-,24,6,1,-,18,7,3,-,13,10,5,-,40,2,3,-,17,11,12,-,18,12,0,-,21,7,11,-,73,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tippecanoe County ,18157,30,-,316,81,32,-,271,59,19,-,202,57,34,-,350,56,51,-,382,63,34,-,330,55,57,-,405,51,36,-,472,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tipton County ,18159,4,-,22,9,7,-,19,4,10,-,26,9,9,-,39,6,3,-,71,10,14,-,87,6,10,-,93,8,8,-,127,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Union County ,18161,2,-,33,6,1,-,38,2,2,-,12,4,0,-,18,2,1,-,15,3,0,-,40,3,0,-,19,2,1,-,39,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vanderburgh County ,18163,84,-,699,96,82,-,658,89,64,-,732,94,73,-,741,76,60,-,821,89,55,-,897,67,68,-,842,70,80,-,"1,014",64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vermillion County ,18165,7,-,57,8,4,-,93,8,7,-,81,13,8,-,114,6,7,-,142,9,4,-,113,9,12,-,177,10,10,-,149,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vigo County ,18167,35,-,276,55,43,-,183,43,42,-,384,46,58,-,522,64,65,-,874,42,52,-,825,50,47,-,821,63,44,-,838,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wabash County ,18169,17,-,78,24,22,-,123,17,11,-,111,12,26,-,156,18,21,-,135,34,15,-,139,29,11,-,134,15,16,-,168,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren County ,18171,3,-,19,5,2,-,22,4,0,-,15,3,1,-,16,4,3,-,9,3,1,-,19,1,3,-,38,5,2,-,38,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warrick County ,18173,26,-,114,18,20,-,78,23,21,-,74,21,17,-,117,5,17,-,122,17,9,-,90,10,13,-,92,22,9,-,164,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Washington County ,18175,18,-,63,25,6,-,41,17,11,-,46,19,13,-,61,19,13,-,91,31,6,-,77,13,13,-,99,25,2,-,86,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wayne County ,18177,16,-,133,29,25,-,96,31,18,-,73,34,13,-,109,50,13,-,133,28,25,-,184,20,21,-,245,27,23,-,349,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wells County ,18179,8,-,67,25,8,-,52,20,4,-,16,19,8,-,81,20,5,-,76,23,11,-,136,11,7,-,82,30,7,-,110,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
White County ,18181,9,-,22,20,4,-,46,16,11,-,63,14,13,-,80,10,10,-,72,8,13,-,79,12,11,-,135,6,9,-,123,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitley County ,18183,9,-,25,14,8,-,37,19,3,-,41,8,13,-,26,13,6,-,62,12,21,-,61,22,17,-,143,31,12,-,142,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
