County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Ripley County ,18137,6,6,8,8,8,7,9,13,-,-,-,-
Rush County ,18139,7,2,8,11,2,6,6,7,-,-,-,-
St. Joseph County ,18141,103,77,92,113,157,109,141,92,-,-,-,-
Scott County ,18143,25,19,23,27,46,21,18,26,-,-,-,-
Shelby County ,18145,13,8,10,14,15,5,16,11,-,-,-,-
Spencer County ,18147,7,12,4,9,13,14,16,19,-,-,-,-
Starke County ,18149,7,15,9,6,19,10,14,13,-,-,-,-
Steuben County ,18151,32,15,21,25,18,12,24,14,-,-,-,-
Sullivan County ,18153,6,4,10,14,11,12,11,6,-,-,-,-
Switzerland County ,18155,2,1,3,5,3,12,0,11,-,-,-,-
Tippecanoe County ,18157,30,32,19,34,51,34,57,36,-,-,-,-
Tipton County ,18159,4,7,10,9,3,14,10,8,-,-,-,-
Union County ,18161,2,1,2,0,1,0,0,1,-,-,-,-
Vanderburgh County ,18163,84,82,64,73,60,55,68,80,-,-,-,-
Vermillion County ,18165,7,4,7,8,7,4,12,10,-,-,-,-
Vigo County ,18167,35,43,42,58,65,52,47,44,-,-,-,-
Wabash County ,18169,17,22,11,26,21,15,11,16,-,-,-,-
Warren County ,18171,3,2,0,1,3,1,3,2,-,-,-,-
Warrick County ,18173,26,20,21,17,17,9,13,9,-,-,-,-
Washington County ,18175,18,6,11,13,13,6,13,2,-,-,-,-
Wayne County ,18177,16,25,18,13,13,25,21,23,-,-,-,-
Wells County ,18179,8,8,4,8,5,11,7,7,-,-,-,-
White County ,18181,9,4,11,13,10,13,11,9,-,-,-,-
Whitley County ,18183,9,8,3,13,6,21,17,12,-,-,-,-
